Name,CVE,Description,Reference,Path,Type,Role,Runtime_lang,Startup
httpd,CVE-2017-15715,Apache HTTPD Newline Parsing Vulnerability,https://httpd.apache.org/security/vulnerabilities_24.html; https://security.elarlang.eu/cve-2017-15715-apache-http-server-filesmatch-bypass-with-a-trailing-newline-at-the-end-of-the-file-name.html,source/vulhub/httpd/CVE-2017-15715,Webserver,Data,Unknown-Web,docker compose up
httpd,CVE-2021-40438,Apache HTTP Server 2.4.48 mod_proxy SSRF,https://httpd.apache.org/security/vulnerabilities_24.html; https://firzen.de/building-a-poc-for-cve-2021-40438; https://www.leavesongs.com/PENETRATION/apache-mod-proxy-ssrf-cve-2021-40438.html,source/vulhub/httpd/CVE-2021-40438,"SSRF, Webserver",Data,Unknown-Web,docker compose up
httpd,CVE-2021-41773,Apache HTTP Server 2.4.49 Path Traversal,https://httpd.apache.org/security/vulnerabilities_24.html; https://twitter.com/ptswarm/status/1445376079548624899; https://twitter.com/HackerGautam/status/1445412108863041544; https://twitter.com/snyff/status/1445565903161102344,source/vulhub/httpd/CVE-2021-41773,"Path Traversal, Webserver",Data,Unknown-Web,docker compose up
httpd,CVE-2021-42013,Apache HTTP Server 2.4.50 Path Traversal,https://httpd.apache.org/security/vulnerabilities_24.html; https://twitter.com/roman_soft/status/1446252280597078024,source/vulhub/httpd/CVE-2021-42013,"Path Traversal, Webserver",Data,Unknown-Web,docker compose up
hugegraph,CVE-2024-27348,Apache HugeGraph Unauthenticated Remote Code Execution,https://blog.securelayer7.net/remote-code-execution-in-apache-hugegraph/; https://www.vicarius.io/vsociety/posts/remote-code-execution-vulnerability-in-apache-hugegraph-server-cve-2024-27348; https://github.com/Zeyad-Azima/CVE-2024-27348,source/vulhub/hugegraph/CVE-2024-27348,RCE,Jump_host,Java,docker compose up
hugegraph,CVE-2024-43441,Apache HugeGraph JWT Token Secret Hardcoding Leads to Authentication Bypass,https://github.com/advisories/GHSA-f697-gm3h-xrf9; https://github.com/apache/incubator-hugegraph/commit/03b40a52446218c83e98cb43020e0593a744a246,source/vulhub/hugegraph/CVE-2024-43441,"Auth Bypass, Hard Coding",Data,Java,docker compose up
imagemagick,CVE-2016-3714,ImageMagick Imagetragick Command Injection,https://imagetragick.com; https://www.leavesongs.com/PENETRATION/CVE-2016-3714-ImageMagick.html; https://github.com/ImageTragick/PoCs,source/vulhub/imagemagick/CVE-2016-3714,RCE,Data,Library/Tool,docker compose up
imagemagick,CVE-2020-29599,ImageMagick PDF Password Location Command Injection,https://insert-script.blogspot.com/2020/11/imagemagick-shell-injection-via-pdf.html,source/vulhub/imagemagick/CVE-2020-29599,RCE,Data,Library/Tool,docker compose up
imagemagick,CVE-2022-44268,ImageMagick Arbitrary File Read,https://www.metabaseq.com/imagemagick-zero-days/; https://github.com/ImageMagick/Website/blob/main/ChangeLog.md#710-52---2022-11-06,source/vulhub/imagemagick/CVE-2022-44268,Path Traversal,Data,Library/Tool,docker compose up
influxdb,CVE-2019-20933,InfluxDB Empty JWT Secret Key Authentication Bypass,https://www.komodosec.com/post/when-all-else-fails-find-a-0-day; https://github.com/influxdata/influxdb/issues/12927; https://github.com/LorenzoTullini/InfluxDB-Exploit-CVE-2019-20933; https://docs.influxdata.com/influxdb/v1.7/administration/config/#http-endpoints-settings,source/vulhub/influxdb/CVE-2019-20933,"Auth Bypass, Hard Coding",Data,Database,docker compose up
ingress-nginx,CVE-2025-1974,Kubernetes Ingress-NGINX Unauthenticated Remote Code Execution,https://www.wiz.io/blog/ingress-nginx-kubernetes-vulnerabilities; https://kubernetes.io/blog/2025/03/24/ingress-nginx-cve-2025-1974/; https://github.com/yoshino-s/CVE-2025-1974; https://github.com/Clifford-prog/IngressNightmare-PoC; https://github.com/kubernetes/ingress-nginx/blob/8c1ecd7655bd052a26e64d3361dede3096cd80c6/internal/ingress/controller/controller.go#L425,source/vulhub/ingress-nginx/CVE-2025-1974,"RCE, Webserver",Data,WebServer,docker compose up
jackson,CVE-2017-7525,Jackson-databind Deserialization Remote Command Execution,https://github.com/FasterXML/jackson-docs/wiki/JacksonPolymorphicDeserialization; https://adamcaudill.com/2017/10/04/exploiting-jackson-rce-cve-2017-7525/; https://github.com/irsl/jackson-rce-via-spel; https://github.com/FasterXML/jackson-databind/commit/60d459cedcf079c6106ae7da2ac562bc32dcabe1,source/vulhub/jackson/CVE-2017-7525,"RCE, Deserialization",Jump_host,Java,docker compose up
jboss,CVE-2017-12149,JBoss 5.x/6.x Deserialization Remote Code Execution,https://mp.weixin.qq.com/s/zUJMt9hdGoz1TEOKy2Cgdg; https://access.redhat.com/security/cve/cve-2017-12149,source/vulhub/jboss/CVE-2017-12149,"RCE, Deserialization, Webserver",Jump_host,Java,docker compose up
jboss,CVE-2017-7504,JBoss 4.x JBossMQ JMS Deserialization Remote Code Execution,https://github.com/joaomatosf/JavaDeserH2HC; https://www.youtube.com/watch?v=jVMr4eeJ2Po,source/vulhub/jboss/CVE-2017-7504,"RCE, Deserialization, Webserver",Jump_host,Java,docker compose up
jenkins,CVE-2017-1000353,Jenkins Remote Code Execution,https://www.jenkins.io/security/advisory/2017-04-26/; https://www.exploit-db.com/exploits/41965,source/vulhub/jenkins/CVE-2017-1000353,RCE,Jump_host,Java,docker compose up
jenkins,CVE-2018-1000861,Jenkins Remote Command Execution,http://blog.orange.tw/2019/01/hacking-jenkins-part-1-play-with-dynamic-routing.html; http://blog.orange.tw/2019/02/abusing-meta-programming-for-unauthenticated-rce.html; https://0xdf.gitlab.io/2019/02/27/playing-with-jenkins-rce-vulnerability.html,source/vulhub/jenkins/CVE-2018-1000861,RCE,Jump_host,Java,docker compose up
jenkins,CVE-2024-23897,Jenkins Arbitrary File Read Through the CLI,https://www.jenkins.io/security/advisory/2024-01-24/#SECURITY-3314; https://mp.weixin.qq.com/s/2a4NXRkrXBDhcL9gZ3XQyw,source/vulhub/jenkins/CVE-2024-23897,Path Traversal,Data,Java,docker compose up
jetty,CVE-2021-28164,Jetty WEB-INF Sensitive Information Disclosure,N/A,source/vulhub/jetty/CVE-2021-28164,"Info Disclosure, Webserver",Data,Java,docker compose up
jetty,CVE-2021-28169,Jetty Common Servlets Component ConcatServlet Information Disclosure,N/A,source/vulhub/jetty/CVE-2021-28169,"Info Disclosure, Webserver",Data,Java,docker compose up
jetty,CVE-2021-34429,Jetty WEB-INF Sensitive Information Disclosure,https://github.com/eclipse/jetty.project/security/advisories/GHSA-vjv5-gp2w-65vm; https://xz.aliyun.com/t/10039,source/vulhub/jetty/CVE-2021-34429,"Info Disclosure, Webserver",Data,Java,docker compose up
jimureport,CVE-2023-4450,JeecgBoot JimuReport FreeMarker Server Side Template Injection RCE,https://github.com/advisories/GHSA-j8h5-8rrr-m6j9; https://whoopsunix.com/docs/java/named%20module/; https://www.reajason.eu.org/writing/freemarkersstimemshell/,source/vulhub/jimureport/CVE-2023-4450,"RCE, SSTI",Jump_host,Java,docker compose up
jira,CVE-2019-11581,Atlassian Jira Template Injection,https://confluence.atlassian.com/jira/jira-security-advisory-2019-07-10-973486595.html; https://jira.atlassian.com/browse/JRASERVER-69532; https://mp.weixin.qq.com/s/d2yvSyRZXpZrPcAkMqArsw,source/vulhub/jira/CVE-2019-11581,"SSTI, RCE",Jump_host,Java,docker compose up
jmeter,CVE-2018-1297,Apache JMeter RMI Deserialization Remote Code Execution,N/A,source/vulhub/jmeter/CVE-2018-1297,"RCE, Deserialization",Jump_host,Unknown-Web,docker compose up
joomla,CVE-2015-8562,Joomla 3.4.5 Deserialization,https://packetstormsecurity.com/files/134949/Joomla-HTTP-Header-Unauthenticated-Remote-Code-Execution.html; https://www.leavesongs.com/PENETRATION/joomla-unserialize-code-execute-vulnerability.html,source/vulhub/joomla/CVE-2015-8562,"Deserialization, RCE, CMS",Jump_host,PHP,docker compose up
joomla,CVE-2017-8917,Joomla 3.7.0 SQL Injection,https://developer.joomla.org/security-centre/692-20170501-core-sql-injection.html; https://blog.sucuri.net/2017/05/sql-injection-vulnerability-joomla-3-7.html,source/vulhub/joomla/CVE-2017-8917,"SQL Injection, CMS",Data,PHP,docker compose up
joomla,CVE-2023-23752,Joomla 4.2.7 Permission Bypass,https://developer.joomla.org/security-centre/894-20230201-core-improper-access-check-in-webservice-endpoints.html; https://xz.aliyun.com/t/12175; https://vulncheck.com/blog/joomla-for-rce,source/vulhub/joomla/CVE-2023-23752,"Auth Bypass, CMS",Data,PHP,docker compose up
jumpserver,CVE-2023-42820,Jumpserver random seed leakage and account takeover,https://github.com/jumpserver/jumpserver/security/advisories/GHSA-7prv-g565-82qp; https://mp.weixin.qq.com/s/VShjaDI1McerX843YyOENw,source/vulhub/jumpserver/CVE-2023-42820,Auth Bypass,Data,Python,docker compose up
kafka,CVE-2023-25194,Apache Kafka Clients JNDI Injection,https://nvd.nist.gov/vuln/detail/CVE-2023-25194; https://github.com/projectdiscovery/nuclei-templates/blob/5d90e8275084b0ae9166ec38cacd22e5a5a94fb8/http/vulnerabilities/apache/apache-druid-kafka-connect-rce.yaml; https://hackerone.com/reports/1529790,source/vulhub/kafka/CVE-2023-25194,"RCE, Message Queue",Jump_host,Java,docker compose up
kibana,CVE-2018-17246,Kibana Local File Inclusion,https://nvd.nist.gov/vuln/detail/CVE-2018-17246; https://www.cyberark.com/threat-research-blog/execute-this-i-know-you-have-it/,source/vulhub/kibana/CVE-2018-17246,Path Traversal,Data,NodeJS,docker compose up
kibana,CVE-2019-7609,Kibana Prototype Chain Pollution to Arbitrary Code Execution,https://nvd.nist.gov/vuln/detail/CVE-2019-7609; https://research.securitum.com/prototype-pollution-rce-kibana-cve-2019-7609/; https://slides.com/securitymb/prototype-pollution-in-kibana/#/4,source/vulhub/kibana/CVE-2019-7609,RCE,Jump_host,NodeJS,docker compose up
kibana,CVE-2020-7012,Kibana 7.6.2 upgrade-assistant-telemetry Prototype Pollution Leads to RCE,https://hackerone.com/reports/852613; https://discuss.elastic.co/t/elastic-stack-6-8-9-and-7-7-0-security-update/235571,source/vulhub/kibana/CVE-2020-7012,RCE,Jump_host,NodeJS,docker compose up
langflow,CVE-2025-3248,Langflow `validate/code` API Pre-Auth Remote Code Execution,https://horizon3.ai/attack-research/disclosures/unsafe-at-any-speed-abusing-python-exec-for-unauth-rce-in-langflow-ai/; https://github.com/langflow-ai/langflow/releases/tag/1.3.0; https://github.com/langflow-ai/langflow/pull/6911,source/vulhub/langflow/CVE-2025-3248,"LLM, RCE",Jump_host,Python,docker compose up
laravel,CVE-2021-3129,Laravel Ignition 2.5.1 Remote Code Execution,https://www.ambionics.io/blog/laravel-debug-rce; https://mp.weixin.qq.com/s/k08P2Uij_4ds35FxE2eh0g,source/vulhub/laravel/CVE-2021-3129,"RCE, Framework",Jump_host,PHP,docker compose up
librsvg,CVE-2023-38633,Librsvg XInclude Arbitrary file reading,https://www.canva.dev/blog/engineering/when-url-parsers-disagree-cve-2023-38633/; https://gitlab.gnome.org/GNOME/librsvg/-/issues/996,source/vulhub/librsvg/CVE-2023-38633,Path Traversal,Data,Library/Tool,docker compose up
libssh,CVE-2018-10933,libssh Server-side Authentication Bypass,https://www.libssh.org/security/advisories/CVE-2018-10933.txt; https://www.seebug.org/vuldb/ssvid-97614,source/vulhub/libssh/CVE-2018-10933,Auth Bypass,Data,Library/Tool,docker compose up
liferay-portal,CVE-2020-7961,Liferay Portal CE Deserialization Remote Code Execution,https://codewhitesec.blogspot.com/2020/03/liferay-portal-json-vulns.html; https://jianfensec.com/%E6%BC%8F%E6%B4%9E%E5%A4%8D%E7%8E%B0/Liferay%20Portal%20CVE-2020-7961%20%E5%AD%A6%E4%B9%A0%E8%AE%B0%E5%BD%95/; https://xz.aliyun.com/t/7499; https://xz.aliyun.com/t/7485,source/vulhub/liferay-portal/CVE-2020-7961,"RCE, Deserialization",Jump_host,Java,docker compose up
livewire,CVE-2025-54068,Livewire Component Property Hydration Remote Code Execution,https://github.com/advisories/GHSA-29cq-5w36-x7w3; https://github.com/synacktiv/Livepyre,source/vulhub/livewire/CVE-2025-54068,"RCE, Framework",Jump_host,PHP,docker compose up
log4j,CVE-2017-5645,Apache Log4j TCP Server Deserialization Remote Code Execution,https://issues.apache.org/jira/browse/LOG4J2-1863; https://github.com/pimps/CVE-2017-5645,source/vulhub/log4j/CVE-2017-5645,"RCE, Deserialization",Jump_host,Java,docker compose up
log4j,CVE-2021-44228,Apache Log4j2 lookup JNDI Injection,https://logging.apache.org/log4j/2.x/security.html; https://www.lunasec.io/docs/blog/log4j-zero-day/; https://xz.aliyun.com/t/10649,source/vulhub/log4j/CVE-2021-44228,RCE,Jump_host,Java,docker compose up
metabase,CVE-2021-41277,Metabase Arbitrary File Read,https://github.com/metabase/metabase/security/advisories/GHSA-w73v-6p7p-fpfr; https://github.com/tahtaciburak/CVE-2021-41277,source/vulhub/metabase/CVE-2021-41277,Path Traversal,Data,Java,docker compose up
metabase,CVE-2023-38646,Metabase Pre-Auth JDBC Remote Code Execution,https://blog.assetnote.io/2023/07/22/pre-auth-rce-metabase/; https://blog.calif.io/p/reproducing-cve-2023-38646-metabase; https://mp.weixin.qq.com/s/MgfIyq0OJwnKOUF2kBB7TA,source/vulhub/metabase/CVE-2023-38646,RCE,Jump_host,Java,docker compose up
metersphere,CVE-2021-45788,MeterSphere v1.15.4 Authenticated SQL Injection,https://github.com/metersphere/metersphere/issues/8651,source/vulhub/metersphere/CVE-2021-45788,SQL Injection,Data,Java,docker compose up
mini_httpd,CVE-2018-18778,ACME mini_httpd Arbitrary File Read,https://nvd.nist.gov/vuln/detail/CVE-2018-18778; https://github.com/projectdiscovery/nuclei-templates/blob/main/http/cves/2018/CVE-2018-18778.yaml,source/vulhub/mini_httpd/CVE-2018-18778,"Path Traversal, Webserver",Data,WebServer,docker compose up
minio,CVE-2023-28432,MinIO Cluster Mode Information Disclosure,https://github.com/minio/minio/security/advisories/GHSA-6xvq-wj2x-3h3q; https://mp.weixin.qq.com/s/GNhQLuzD8up3VcBRIinmgQ,source/vulhub/minio/CVE-2023-28432,Info Disclosure,Data,Go/Binary,docker compose up
mongo-express,CVE-2019-10758,Mongo Express Remote Code Execution,N/A,source/vulhub/mongo-express/CVE-2019-10758,RCE,Data,Database,docker compose up
mysql,CVE-2012-2122,MySQL Authentication Bypass,http://www.freebuf.com/vuls/3815.html; https://blog.rapid7.com/2012/06/11/cve-2012-2122-a-tragically-comedic-security-flaw-in-mysql/,source/vulhub/mysql/CVE-2012-2122,"Auth Bypass, Database",Data,Database,docker compose up
nacos,CVE-2021-29441,Nacos Authentication Bypass,https://github.com/advisories/GHSA-36hp-jr8h-556f,source/vulhub/nacos/CVE-2021-29441,Auth Bypass,Data,Java,docker compose up
nacos,CVE-2021-29442,Alibaba Nacos Authentication Bypass and Remote Code Execution,https://github.com/advisories/GHSA-xv5h-v7jh-p2qh; https://github.com/alibaba/nacos/issues/4463; https://github.com/ayoundzw/nacos-poc; http://www.lvyyevd.cn/archives/derby-shu-ju-ku-ru-he-shi-xian-rce,source/vulhub/nacos/CVE-2021-29442,"RCE, Auth Bypass",Jump_host,Java,docker compose up
neo4j,CVE-2021-34371,Neo4j Shell Server Deserialization,https://www.exploit-db.com/exploits/50170; https://github.com/mozilla/rhino/issues/520,source/vulhub/neo4j/CVE-2021-34371,"Deserialization, RCE",Jump_host,Java,docker compose up
next.js,CVE-2025-29927,Next.js Middleware Authorization Bypass,https://github.com/advisories/GHSA-f82v-jwr5-mffw; https://zhero-web-sec.github.io/research-and-things/nextjs-and-the-corrupt-middleware; https://nvd.nist.gov/vuln/detail/CVE-2025-29927,source/vulhub/next.js/CVE-2025-29927,"Auth Bypass, Framework",Data,NodeJS,docker compose up
nexus,CVE-2019-7238,Nexus Repository Manager 3 Unauthenticated Remote Code Execution,https://support.sonatype.com/hc/en-us/articles/360017310793-CVE-2019-7238-Nexus-Repository-Manager-3-Missing-Access-Controls-and-Remote-Code-Execution-February-5th-2019; https://xz.aliyun.com/t/4136; https://www.anquanke.com/post/id/171116; http://commons.apache.org/proper/commons-jexl/,source/vulhub/nexus/CVE-2019-7238,RCE,Jump_host,Java,docker compose up
nexus,CVE-2020-10199,Nexus Repository Manager 3 Authenticated Remote Code Execution,https://support.sonatype.com/hc/en-us/articles/360044882533-CVE-2020-10199-Nexus-Repository-Manager-3-Remote-Code-Execution-2020-03-31; https://github.com/threedr3am/learnjavabug/blob/93d57c4283/nexus/CVE-2020-10199/README.md; https://github.com/jas502n/CVE-2020-10199,source/vulhub/nexus/CVE-2020-10199,RCE,Jump_host,Java,docker compose up
nexus,CVE-2020-10204,Nexus Repository Manager 3 Authenticated Remote Code Execution,https://support.sonatype.com/hc/en-us/articles/360044356194-CVE-2020-10204-Nexus-Repository-Manager-3-Remote-Code-Execution-2020-03-31; https://github.com/threedr3am/learnjavabug/blob/93d57c4283/nexus/CVE-2020-10204/README.md; https://github.com/jas502n/CVE-2020-10199,source/vulhub/nexus/CVE-2020-10204,RCE,Jump_host,Java,docker compose up
nexus,CVE-2024-4956,Nexus Repository Manager 3 Unauthenticated Path Traversal,https://support.sonatype.com/hc/en-us/articles/29416509323923-CVE-2024-4956-Nexus-Repository-3-Path-Traversal-2024-05-16,source/vulhub/nexus/CVE-2024-4956,Path Traversal,Data,Java,docker compose up
nginx,CVE-2013-4547,Nginx Filename Logic Vulnerability,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2013-4547; https://blog.werner.wiki/file-resolution-vulnerability-nginx/; http://www.91ri.org/9064.html,source/vulhub/nginx/CVE-2013-4547,Webserver,Data,WebServer,docker compose up
nginx,CVE-2017-7529,Nginx Cache Leak by Integer Overflow,https://cert.360.cn/detailnews.html?id=b879782fbad4a7f773b6c18490d67ac7; http://galaxylab.org/cve-2017-7529-nginx%E6%95%B4%E6%95%B0%E6%BA%A2%E5%87%BA%E6%BC%8F%E6%B4%9E%E5%88%86%E6%9E%90/,source/vulhub/nginx/CVE-2017-7529,"Info Disclosure, Webserver",Data,WebServer,docker compose up
node,CVE-2017-14849,Node.js 8.5.0 Path Traversal,https://nodejs.org/en/blog/vulnerability/september-2017-path-validation/; https://security.tencent.com/index.php/blog/msg/121,source/vulhub/node/CVE-2017-14849,Path Traversal,Data,NodeJS,docker compose up
node,CVE-2017-16082,Node-Postgres Remote Code Execution,https://www.leavesongs.com/PENETRATION/node-postgres-code-execution-vulnerability.html; https://node-postgres.com/announcements#2017-08-12-code-execution-vulnerability; https://zhuanlan.zhihu.com/p/28575189,source/vulhub/node/CVE-2017-16082,RCE,Jump_host,NodeJS,docker compose up
ntopng,CVE-2021-28073,ntopng Permission Bypass,http://noahblog.360.cn/ntopng-multiple-vulnerabilities/,source/vulhub/ntopng/CVE-2021-28073,Auth Bypass,Data,Unknown-Web,docker compose up
ofbiz,CVE-2020-9496,Apache OfBiz Deserialization Command Execution,N/A,source/vulhub/ofbiz/CVE-2020-9496,"RCE, Deserialization",Jump_host,Java,docker compose up
ofbiz,CVE-2023-49070,Unsafe deserialization of XMLRPC arguments in Apache OFBiz,https://www.openwall.com/lists/oss-security/2023/12/04/2; https://github.com/vulhub/vulhub/tree/master/ofbiz/CVE-2020-9496,source/vulhub/ofbiz/CVE-2023-49070,"Deserialization, RCE",Jump_host,Java,docker compose up
ofbiz,CVE-2023-51467,Apache OFBiz Authentication Bypass Leads to RCE,https://github.com/apache/ofbiz-framework/commit/d8b097f6717a4004acf023dfe929e0e41ad63faa; https://xz.aliyun.com/t/13211; https://y4tacker.github.io/2023/12/27/year/2023/12/Apache-OFBiz%E6%9C%AA%E6%8E%88%E6%9D%83%E5%91%BD%E4%BB%A4%E6%89%A7%E8%A1%8C%E6%B5%85%E6%9E%90-CVE-2023-51467/,source/vulhub/ofbiz/CVE-2023-51467,"RCE, Auth Bypass",Jump_host,Java,docker compose up
ofbiz,CVE-2024-38856,Apache OFBiz Authentication Bypass Leads to RCE,https://github.com/apache/ofbiz-framework/commit/31d8d7; https://forum.butian.net/article/524; https://github.com/Praison001/CVE-2024-38856-ApacheOfBiz,source/vulhub/ofbiz/CVE-2024-38856,"RCE, Auth Bypass",Jump_host,Java,docker compose up
ofbiz,CVE-2024-45195,Apache OFBiz Authentication Bypass Leads to RCE,https://github.com/apache/ofbiz-framework/commit/ab78769c2d; https://github.com/apache/ofbiz-plugins/commit/8b95fe6fa; https://www.rapid7.com/blog/post/2024/09/05/cve-2024-45195-apache-ofbiz-unauthenticated-remote-code-execution-fixed/,source/vulhub/ofbiz/CVE-2024-45195,"RCE, Auth Bypass",Jump_host,Java,docker compose up
ofbiz,CVE-2024-45507,Apache OFBiz SSRF and Remote Code Execution,https://github.com/apache/ofbiz-framework/commit/ffb1bc4879; https://xz.aliyun.com/t/15569; https://paper.seebug.org/3228/,source/vulhub/ofbiz/CVE-2024-45507,"RCE, SSRF",Jump_host,Java,docker compose up
openfire,CVE-2023-32315,Openfire Management Background Authentication Bypass,https://github.com/igniterealtime/Openfire/security/advisories/GHSA-gw42-f939-fhvm; https://mp.weixin.qq.com/s/EzfB8CM4y4aNtKFJqSOM1w,source/vulhub/openfire/CVE-2023-32315,Auth Bypass,Data,Java,docker compose up
opensmtpd,CVE-2020-7247,OpenSMTPD Remote Command Execution,N/A,source/vulhub/opensmtpd/CVE-2020-7247,RCE,Data,Infrastructure,docker compose up
openssh,CVE-2018-15473,OpenSSH Username Enumeration,http://openwall.com/lists/oss-security/2018/08/15/5; https://github.com/Rhynorater/CVE-2018-15473-Exploit; https://www.anquanke.com/post/id/157607,source/vulhub/openssh/CVE-2018-15473,Info Disclosure,Data,Library/Tool,docker compose up
openssl,CVE-2014-0160,OpenSSL Heartbleed Memory Leak Leads to Information Disclosure,https://heartbleed.com/; https://filippo.io/Heartbleed,source/vulhub/openssl/CVE-2014-0160,Info Disclosure,Data,Library/Tool,docker compose up
openssl,CVE-2022-0778,OpenSSL Infinite Loop Leads to DoS,https://github.com/drago-96/CVE-2022-0778; https://www.cnblogs.com/logchen/p/16030515.html; https://catbro666.github.io/posts/83951100/; https://github.com/yywing/cve-2022-0778,source/vulhub/openssl/CVE-2022-0778,DoS,Data,Library/Tool,docker compose up
opentsdb,CVE-2020-35476,OpenTSDB Arbitrary Command Injection Remote Code Execution,https://github.com/OpenTSDB/opentsdb/issues/2051; https://packetstormsecurity.com/files/136753/OpenTSDB-Remote-Code-Execution.html,source/vulhub/opentsdb/CVE-2020-35476,RCE,Jump_host,Java,docker compose up
opentsdb,CVE-2023-25826,OpenTSDB Arbitrary Command Injection Remote Code Execution,https://www.synopsys.com/blogs/software-security/opentsdb/; https://github.com/OpenTSDB/opentsdb/pull/2275,source/vulhub/opentsdb/CVE-2023-25826,RCE,Jump_host,Java,docker compose up
pdfjs,CVE-2024-4367,PDF.js Arbitrary JavaScript Code Execution,https://codeanlabs.com/blog/research/cve-2024-4367-arbitrary-js-execution-in-pdf-js/,source/vulhub/pdfjs/CVE-2024-4367,RCE,Jump_host,Unknown-Web,docker compose up
pgadmin,CVE-2022-4223,pgAdmin <= 6.16 Unauthenticated Remote Command Execution,https://github.com/pgadmin-org/pgadmin4/commit/799b6d8f7c10e920c9e67c2c18d381d6320ca604; https://github.com/pgadmin-org/pgadmin4/commit/461849c2763e680ed2296bb8a753ca7aef546595; https://github.com/advisories/GHSA-3v6v-2x6p-32mc,source/vulhub/pgadmin/CVE-2022-4223,RCE,Jump_host,Python,docker compose up
pgadmin,CVE-2023-5002,pgAdmin <= 7.6 Authenticated Remote Command Execution,https://github.com/pgadmin-org/pgadmin4/commit/35f05e49b3632a0a674b9b36535a7fe2d93dd0c2; https://github.com/advisories/GHSA-ghp8-52vx-77j4,source/vulhub/pgadmin/CVE-2023-5002,RCE,Jump_host,Python,docker compose up
pgadmin,CVE-2025-2945,pgAdmin4 <= 9.1 Authenticated Remote Code Execution,https://nvd.nist.gov/vuln/detail/CVE-2025-2945; https://github.com/advisories/GHSA-g73c-fw68-pwx3; https://github.com/pgadmin-org/pgadmin4/issues/8603; https://github.com/pgadmin-org/pgadmin4/commit/75be0bc22d3d8d7620711835db817bd7c021007c,source/vulhub/pgadmin/CVE-2025-2945,RCE,Jump_host,Python,docker compose up
pgadmin,CVE-2025-13780,pgAdmin4 <= 9.10 Database Restore Tool Command Injection,https://nvd.nist.gov/vuln/detail/CVE-2025-13780; https://github.com/advisories/GHSA-fxmw-jcgr-w44v; https://github.com/pgadmin-org/pgadmin4/issues/9368; https://github.com/pgadmin-org/pgadmin4/commit/d5a909f14cb9713d89b49481ad1929fad89f4576,source/vulhub/pgadmin/CVE-2025-13780,RCE,Jump_host,Python,docker compose up
php,CVE-2012-1823,PHP-CGI Remote Code Execution,http://eindbazen.net/2012/05/php-cgi-advisory-cve-2012-1823/; https://www.leavesongs.com/PENETRATION/php-cgi-cve-2012-1823.html,source/vulhub/php/CVE-2012-1823,RCE,Jump_host,PHP,docker compose up
php,CVE-2018-19518,PHP IMAP Remote Command Execution,https://bugs.php.net/bug.php?id=77153; https://github.com/Bo0oM/PHP_imap_open_exploit; https://antichat.com/threads/463395/#post-4254681; https://nvd.nist.gov/vuln/detail/CVE-2018-19518,source/vulhub/php/CVE-2018-19518,RCE,Jump_host,PHP,docker compose up
php,CVE-2019-11043,PHP-FPM Remote Code Execution,N/A,source/vulhub/php/CVE-2019-11043,RCE,Jump_host,PHP,docker compose up
php,CVE-2024-2961,PHP File Read to Remote Code Execution Through GNU C Library Iconv,https://www.ambionics.io/blog/iconv-cve-2024-2961-p1,source/vulhub/php/CVE-2024-2961,"RCE, Path Traversal",Jump_host,PHP,docker compose up
phpmailer,CVE-2017-5223,PHPMailer Arbitrary File Read,http://www.freebuf.com/vuls/124820.html; https://www.exploit-db.com/exploits/43056/,source/vulhub/phpmailer/CVE-2017-5223,Path Traversal,Data,PHP,docker compose up
phpmyadmin,CVE-2016-5734,phpMyAdmin 4.0.x-4.6.2 Remote Code Execution,N/A,source/vulhub/phpmyadmin/CVE-2016-5734,RCE,Jump_host,PHP,docker compose up
phpmyadmin,CVE-2018-12613,phpmyadmin 4.8.1 Remote File Inclusion,https://mp.weixin.qq.com/s/HZcS2HdUtqz10jUEN57aog; https://www.phpmyadmin.net/security/PMASA-2018-4/,source/vulhub/phpmyadmin/CVE-2018-12613,Path Traversal,Data,PHP,docker compose up
phpunit,CVE-2017-9841,phpunit Remote Code Execution,http://web.archive.org/web/20170701212357/http://phpunit.vulnbusters.com/; https://www.ovh.com/blog/cve-2017-9841-what-is-it-and-how-do-we-protect-our-customers/,source/vulhub/phpunit/CVE-2017-9841,RCE,Jump_host,PHP,docker compose up
polkit,CVE-2021-4034,Polkit pkexec Privilege Escalation,https://www.qualys.com/2022/01/25/cve-2021-4034/pwnkit.txt; https://blog.qualys.com/vulnerabilities-threat-research/2022/01/25/pwnkit-local-privilege-escalation-vulnerability-discovered-in-polkits-pkexec-cve-2021-4034; https://github.com/berdav/CVE-2021-4034,source/vulhub/polkit/CVE-2021-4034,Privilege Escalation,Data,Library/Tool,docker compose up
postgres,CVE-2018-1058,PostgreSQL Privilege Escalation,https://wiki.postgresql.org/wiki/A_Guide_to_CVE-2018-1058:_Protect_Your_Search_Path; https://xianzhi.aliyun.com/forum/topic/2109,source/vulhub/postgres/CVE-2018-1058,"Privilege Escalation, Database",Data,Database,docker compose up
postgres,CVE-2019-9193,PostgreSQL Arbitrary Command Execution with Admin Privileges,https://medium.com/greenwolf-security/authenticated-arbitrary-command-execution-on-postgresql-9-3-latest-cd18945914d5,source/vulhub/postgres/CVE-2019-9193,"RCE, Database",Data,Database,docker compose up
python,CVE-2024-23334,aiohttp Directory Traversal Vulnerability,https://nvd.nist.gov/vuln/detail/CVE-2024-23334,source/vulhub/python/CVE-2024-23334,Path Traversal,Data,Python,docker compose up
